indice_tiempo,ventas_precios_constantes
2017-01-01,27477.307666370558
2017-02-01,25223.428860347456
2017-03-01,26334.26363967878
2017-04-01,27045.88446262117
2017-05-01,25631.863991881684
2017-06-01,26365.38706384802
2017-07-01,27819.35294462765
2017-08-01,27394.073951805767
2017-09-01,26404.252526903
2017-10-01,27766.66317796161
2017-11-01,28425.30172064116
2017-12-01,34084.519433704845
2018-01-01,26736.746546069702
2018-02-01,25650.68873210639
2018-03-01,28846.727300021103
2018-04-01,26429.52752809941
2018-05-01,26430.503243249208
2018-06-01,27465.90980889797
2018-07-01,27033.43803708506
2018-08-01,26267.25651402061
2018-09-01,24310.777978264974
2018-10-01,25010.47670444924
2018-11-01,24891.712633121308
2018-12-01,31136.131957050453
2019-01-01,23888.726073338843
2019-02-01,22542.04994183623
2019-03-01,24647.680742226563
2019-04-01,23073.755385152886
2019-05-01,22852.143404939907
2019-06-01,23803.413179689967
2019-07-01,23580.072634934764
2019-08-01,24329.91041230039
2019-09-01,22144.650616311803
2019-10-01,24652.714423861984
2019-11-01,24270.704120335202
2019-12-01,29147.851034695264
2020-01-01,23483.345683378706
2020-02-01,23702.01314762216
2020-03-01,26996.659534813563
2020-04-01,23142.654714237968
2020-05-01,24012.676328922764
2020-06-01,23449.543028817643
2020-07-01,23791.36751520022
2020-08-01,22953.005491091488
2020-09-01,21628.03177677916
2020-10-01,24095.338218753797
2020-11-01,24010.693725993668
2020-12-01,29931.104464156986
2021-01-01,24420.020915074365
2021-02-01,22322.621034309435
2021-03-01,24627.553412049245
2021-04-01,23407.47506933876
2021-05-01,23368.393763666063
2021-06-01,23677.99416274856
2021-07-01,24779.467081130562
2021-08-01,23990.06905576837
2021-09-01,22962.046342330883
2021-10-01,25386.745245625454
2021-11-01,25026.615284791493
2021-12-01,31596.63098218947
2022-01-01,25464.131520078306
2022-02-01,23803.20202289494
2022-03-01,24612.90136936376
2022-04-01,24147.43609700489
2022-05-01,23234.77377354882
2022-06-01,24144.358858783595
2022-07-01,26090.255578014123
2022-08-01,23930.70583602192
2022-09-01,23136.675583905282
2022-10-01,24989.575744483296
2022-11-01,25641.375803071478
2022-12-01,30979.740546456924
2023-01-01,25676.03631151485
