indice_tiempo,ventas_precios_corrientes
1996-01-01,998.77
1996-02-01,1022.71
1996-03-01,1149.27
1996-04-01,1077.44
1996-05-01,1050.08
1996-06-01,1094.54
1996-07-01,1091.12
1996-08-01,1121.91
1996-09-01,1026.13
1996-10-01,1080.86
1996-11-01,1132.17
1996-12-01,1446.85
1997-01-01,1067.18
1997-02-01,1053.5
1997-03-01,1234.78
1997-04-01,1115.07
1997-05-01,1159.53
1997-06-01,1124.99
1997-07-01,1149.27
1997-08-01,1193.74
1997-09-01,1091.12
1997-10-01,1176.63
1997-11-01,1210.84
1997-12-01,1518.68
1998-01-01,1186.9
1998-02-01,1152.69
1998-03-01,1296.35
1998-04-01,1234.78
1998-05-01,1286.09
1998-06-01,1210.84
1998-07-01,1286.09
1998-08-01,1306.61
1998-09-01,1200.58
1998-10-01,1337.4
1998-11-01,1251.88
1998-12-01,1628.13
1999-01-01,1204.0
1999-02-01,1180.06
1999-03-01,1320.29
1999-04-01,1245.04
1999-05-01,1238.2
1999-06-01,1204.0
1999-07-01,1310.03
1999-08-01,1238.2
1999-09-01,1173.21
1999-10-01,1303.19
1999-11-01,1183.48
1999-12-01,1573.41
2000-01-01,1180.06
2000-02-01,1166.37
2000-03-01,1275.83
2000-04-01,1296.35
2000-05-01,1186.9
2000-06-01,1197.16
2000-07-01,1303.19
2000-08-01,1221.1
2000-09-01,1227.94
2000-10-01,1258.73
2000-11-01,1204.0
2000-12-01,1607.61
2001-01-01,1176.63
2001-02-01,1118.49
2001-03-01,1299.77
2001-04-01,1241.62
2001-05-01,1149.27
2001-06-01,1207.42
2001-07-01,1207.42
2001-08-01,1152.69
2001-09-01,1125.33
2001-10-01,1118.49
2001-11-01,1084.28
2001-12-01,1361.34
2002-01-01,1091.12
2002-02-01,1080.86
2002-03-01,1320.29
2002-04-01,1210.84
2002-05-01,1262.15
2002-06-01,1347.66
2002-07-01,1344.24
2002-08-01,1402.38
2002-09-01,1333.98
2002-10-01,1371.6
2002-11-01,1395.54
2002-12-01,1754.69
2003-01-01,1344.24
2003-02-01,1306.61
2003-03-01,1511.84
2003-04-01,1395.54
2003-05-01,1416.07
2003-06-01,1392.12
2003-07-01,1443.43
2003-08-01,1505.0
2003-09-01,1354.5
2003-10-01,1481.05
2003-11-01,1484.48
2003-12-01,1877.83
2004-01-01,1467.37
2004-02-01,1477.63
2004-03-01,1535.78
2004-04-01,1552.88
2004-05-01,1549.46
2004-06-01,1508.42
2004-07-01,1645.24
2004-08-01,1607.61
2004-09-01,1518.68
2004-10-01,1727.33
2004-11-01,1563.15
2004-12-01,2175.41
2005-01-01,1686.28
2005-02-01,1583.67
2005-03-01,1788.9
2005-04-01,1782.05
2005-05-01,1730.75
2005-06-01,1744.43
2005-07-01,1932.55
2005-08-01,1816.26
2005-09-01,1785.47
2005-10-01,1994.12
2005-11-01,1888.09
2005-12-01,2476.41
2006-01-01,1929.13
2006-02-01,1860.72
2006-03-01,2052.27
2006-04-01,2158.3
2006-05-01,2031.75
2006-06-01,2096.74
2006-07-01,2230.13
2006-08-01,2154.88
2006-09-01,2165.14
2006-10-01,2274.6
2006-11-01,2213.03
2006-12-01,3037.36
2007-01-01,2336.17
2007-02-01,2278.02
2007-03-01,2640.59
2007-04-01,2582.44
2007-05-01,2534.55
2007-06-01,2743.2
2007-07-01,2852.65
2007-08-01,2934.75
2007-09-01,2958.69
2007-10-01,3071.56
2007-11-01,3033.94
2007-12-01,4094.28
2008-01-01,3187.86
2008-02-01,3249.43
2008-03-01,3711.19
2008-04-01,3420.45
2008-05-01,3649.47
2008-06-01,3625.99
2008-07-01,3737.56
2008-08-01,3990.18
2008-09-01,3739.59
2008-10-01,4083.32
2008-11-01,4132.15
2008-12-01,5021.76
2009-01-01,4044.5
2009-02-01,3813.04
2009-03-01,4200.18
2009-04-01,4185.66
2009-05-01,4242.68
2009-06-01,4118.66
2009-07-01,4483.63
2009-08-01,4480.56
2009-09-01,4169.23
2009-10-01,4663.75
2009-11-01,4562.68
2009-12-01,5836.6
2010-01-01,4922.43
2010-02-01,4723.63
2010-03-01,5214.49
2010-04-01,5206.35
2010-05-01,5497.82
2010-06-01,5452.33
2010-07-01,5809.6
2010-08-01,5713.11
2010-09-01,5502.67
2010-10-01,6158.0
2010-11-01,5932.56
2010-12-01,7851.49
2011-01-01,6317.36
2011-02-01,5936.7
2011-03-01,6656.05
2011-04-01,6854.7
2011-05-01,6645.99
2011-06-01,6923.63
2011-07-01,7569.8
2011-08-01,7374.13
2011-09-01,7178.82
2011-10-01,7820.0
2011-11-01,7732.88
2011-12-01,9779.63
2012-01-01,8043.25
2012-02-01,7937.31
2012-03-01,8486.92
2012-04-01,8646.27
2012-05-01,8162.08
2012-06-01,8883.07
2012-07-01,9240.84
2012-08-01,9321.83
2012-09-01,9265.37
2012-10-01,9564.26
